county_code,county_name,fips_code
001,Autauga,01001
003,Baldwin,01003
005,Barbour,01005
007,Bibb,01007
009,Blount,01009
011,Bullock,01011
013,Butler,01013
015,Calhoun,01015
017,Chambers,01017
019,Cherokee,01019
021,Chilton,01021
023,Choctaw,01023
025,Clarke,01025
027,Clay,01027
029,Cleburne,01029
031,Coffee,01031
033,Colbert,01033
035,Conecuh,01035
037,Coosa,01037
039,Covington,01039
041,Crenshaw,01041
043,Cullman,01043
045,Dale,01045
047,Dallas,01047
049,DeKalb,01049
051,Elmore,01051
053,Escambia,01053
055,Etowah,01055
057,Fayette,01057
059,Franklin,01059
061,Geneva,01061
063,Greene,01063
065,Hale,01065
067,Henry,01067
069,Houston,01069
071,Jackson,01071
073,Jefferson,01073
075,Lamar,01075
077,Lauderdale,01077
079,Lawrence,01079
081,Lee,01081
083,Limestone,01083
085,Lowndes,01085
087,Macon,01087
089,Madison,01089
091,Marengo,01091
093,Marion,01093
095,Marshall,01095
097,Mobile,01097
099,Monroe,01099
101,Montgomery,01101
103,Morgan,01103
105,Perry,01105
107,Pickens,01107
109,Pike,01109
111,Randolph,01111
113,Russell,01113
115,St. Clair,01115
117,Shelby,01117
119,Sumter,01119
121,Talladega,01121
123,Tallapoosa,01123
125,Tuscaloosa,01125
127,Walker,01127
129,Washington,01129
131,Wilcox,01131
133,Winston,01133
