"raw_col","std_col","dtype","source_group","is_required","observed_n_na","observed_n_distinct","notes"
"row_id","row_id","character","id",TRUE,0,3396,"Primary key. Pattern: {YYYY-YYYY}_{site_code} or {YYYY-YYYY}_new_NNNN"
"school_year","school_year","character","id",TRUE,0,5,"5 levels: 2021-2022, 2022-2023, 2023-2024, 2024-2025, 2025-2026_new"
"site_name","site_name","character","id",TRUE,0,1033,"ADECE site facility name; 1,033 distinct in v1"
"site_code","site_code","character","id",FALSE,108,915,"ADECE site identifier; NA for 108 _new rows"
"site_street","site_street","character","adece",TRUE,0,994,"ADECE address component"
"site_city","site_city","character","adece",TRUE,0,345,"ADECE address component"
"site_state","site_state","character","adece",TRUE,0,1,"Always 'AL' in v1"
"site_zip","site_zip","numeric","adece",FALSE,1,420,"ADECE ZIP; 1 NA in v1; KEEP NUMERIC ONLY IF SOURCE IS NUMERIC, ELSE CHARACTER"
"geocode_address","geocode_address","character","id",TRUE,0,999,"Composite address for geocoding: {street}, {city}, {state}, {zip}"
"latitude","latitude","numeric","adece",FALSE,184,850,"ADECE coord; 184 NA (108 _new + 49 2021-22 + 27 2022-23)"
"longitude","longitude","numeric","adece",FALSE,184,852,"ADECE coord; paired with latitude NA pattern"
"has_latlon","has_latlon","logical","adece",TRUE,0,2,"Logical; deterministic: has_latlon == !is.na(latitude)"
"md_street","md_street","character","melissa_norm",TRUE,0,967,"Melissa-normalized street (abbreviated form)"
"md_city","md_city","character","melissa_norm",TRUE,0,343,"Melissa-normalized city"
"md_state","md_state","character","melissa_norm",TRUE,0,1,"Melissa-normalized state; always 'AL' in v1"
"GEOZIP","GEOZIP","character","melissa_norm",TRUE,0,418,"Melissa-parsed ZIP code"
"PLUS4","PLUS4","character","melissa_norm",FALSE,249,817,"Melissa ZIP+4 extension; 249 NA in v1 (aligned with GS03)"
"DPB","DPB","character","melissa_norm",FALSE,249,96,"Delivery Point Barcode; paired with PLUS4 NA"
"LAT","LAT","character","melissa_out",TRUE,0,959,"Melissa latitude; CHARACTER in source; coerce to numeric in geocode_clean()"
"LNG","LNG","character","melissa_out",TRUE,0,959,"Melissa longitude; CHARACTER in source; coerce to numeric in geocode_clean()"
"CT","CT","character","melissa_out",TRUE,0,582,"Census tract; 6-digit padded"
"CENSUSBLOC","CENSUSBLOC","character","melissa_out",TRUE,0,268,"Census block; 4-digit"
"FIPS","FIPS","character","melissa_out",TRUE,0,67,"5-digit county FIPS; 67 distinct (all AL)"
"COUNTYNAME","COUNTYNAME","character","melissa_out",TRUE,0,67,"67 distinct (all AL); 1:1 with FIPS"
"PLACENAME","PLACENAME","character","melissa_out",FALSE,667,319,"Incorporated city/place; 667 NA (~20%) for rural/unincorporated"
"PLACECODE","PLACECODE","character","melissa_out",FALSE,667,319,"7-digit place FIPS; paired with PLACENAME NA"
"RESULTCODE","RESULTCODE","character","melissa_out",TRUE,0,4,"Melissa Geocoder Status. v1 observed: GS01/GS03/GS05/GS06. See melissa_resultcode_codes.csv"
"STATUSCODE","STATUSCODE","character","melissa_out",TRUE,0,4,"Derived field (no Melissa docs); v1 observed: 5/9/A/B; 1:1 with RESULTCODE"
"ERRORCODE","ERRORCODE","logical","melissa_out",FALSE,3396,0,"Melissa error code; 100% NA in v1; future deliveries may populate. See melissa_errorcode_codes.csv"
