raw_value,standardized
public school,Public School
Public School,Public School
community organization operated,Community Organization
Community Organization,Community Organization
private child care,Private Child Care
private childcare,Private Child Care
Private Child Care,Private Child Care
faith based organization,Faith-Based Organization
Faith-Based Organization,Faith-Based Organization
Faith Based Organization,Faith-Based Organization
Head Start,Head Start
university operated,University Operated
university,University Operated
University Operated,University Operated
private school,Private School
Private School,Private School
